"","0","1","p","test"
"n","   666","   414","",""
"Age (mean (SD))"," 59.76 (13.79)"," 60.85 (11.83)"," 0.181",""
"Sex = 2 (%)","   276 (41.4) ","   164 (39.6) "," 0.596",""
"vitalstatus = 1 (%)","   470 (70.6) ","   344 (83.1) ","<0.001",""
"ECOG PS (%)","   ","   "," 0.010",""
"   0","   274 (42.3) ","   137 (33.4) ","",""
"   1","   266 (41.1) ","   190 (46.3) ","",""
"   2","    92 (14.2) ","    64 (15.6) ","",""
"   >2","    15 ( 2.3) ","    19 ( 4.6) ","",""
"Cancer (%)","   ","   "," 0.101",""
"   melanoma","   226 (33.9) ","   116 (28.0) ","",""
"   non-small cell lung cancer","   110 (16.5) ","    81 (19.6) ","",""
"   Other","   330 (49.5) ","   217 (52.4) ","",""
"Staging (%)","   ","   "," 0.033",""
"   2","     1 ( 0.2) ","     0 ( 0.0) ","",""
"   3","    75 (12.0) ","    31 ( 7.8) ","",""
"   4","   529 (84.5) ","   358 (90.6) ","",""
"   Unknown","    21 ( 3.4) ","     6 ( 1.5) ","",""
"Immunotherapy (%)","   ","   "," 0.829",""
"   CTLA4","   121 (18.2) ","    77 (18.6) ","",""
"   Other","    28 ( 4.2) ","    13 ( 3.1) ","",""
"   PD1/L1","   466 (70.0) ","   294 (71.0) ","",""
"   PD1/L1 + CTLA4","    51 ( 7.7) ","    30 ( 7.2) ","",""
"Chemo_prior = yes (%)","   352 (52.9) ","   242 (58.5) "," 0.083",""
"follow_up_time (median [IQR])","460.50 [151.50, 1182.75]","308.00 [105.25, 792.75]","<0.001","nonnorm"
