"","0","1","p","test"
"n","   364","   210","",""
"Age (mean (SD))"," 64.21 (10.00)"," 63.62 (11.19)"," 0.515",""
"Sex = 2 (%)","   160 (44.0) ","    88 (41.9) "," 0.696",""
"vitalstatus = 1 (%)","   276 (75.8) ","   163 (77.6) "," 0.699",""
"ECOG PS (%)","   ","   "," 0.582",""
"   0","    66 (19.1) ","    34 (17.1) ","",""
"   1","   203 (58.7) ","   112 (56.3) ","",""
"   2","    70 (20.2) ","    50 (25.1) ","",""
"   >2","     7 ( 2.0) ","     3 ( 1.5) ","",""
"Immunotherapy (%)","   ","   "," 0.824",""
"   CTLA4","     1 ( 0.3) ","     0 ( 0.0) ","",""
"   Other","     9 ( 2.9) ","     3 ( 1.9) ","",""
"   PD1/L1","   294 (93.9) ","   147 (94.8) ","",""
"   PD1/L1 + CTLA4","     9 ( 2.9) ","     5 ( 3.2) ","",""
"Chemo_prior = yes (%)","    37 (14.9) ","    22 (15.9) "," 0.904",""
"follow_up_time (median [IQR])","615.00 [210.75, 1437.25]","601.50 [187.75, 1412.75]"," 0.446","nonnorm"
